#,dist(asec),prob.,link ref,link,identifier,typ,coord1 (ICRS J2000/2000),Mag U,Mag B,Mag V,Mag R,Mag I,spec. type,#bib,#not
3709,508.16,100,2010ApJS..186..191C,B,2MASS J02180157+5711434,*,02 18 01.5795322608 +57 11 43.392480396,~,~,16.607,~,15.414,F6.8V,2,0
3710,505.39,100,2010ApJS..186..191C,B,2MASS J02180856+5713105,*,02 18 08.5716535920 +57 13 10.535041056,~,~,16.525,~,15.432,F3.8V,2,0
3711,425.63,100,2010ApJS..186..191C,B,2MASS J02182854+5702100,*,02 18 28.5468393168 +57 02 10.050371592,~,~,16.713,~,15.413,G2.0V,2,0
3712,592.32,100,2010ApJS..186..191C,B,2MASS J02193601+5716269,*,02 19 36.0353425992 +57 16 26.926163400,~,~,16.728,~,15.416,G6.9V,2,0
3713,457.60,100,2010ApJS..186..191C,B,2MASS J02192582+5701257,*,02 19 25.8337358208 +57 01 25.767289092,~,~,16.599,~,15.432,F4.9V,2,0
3714,387.48,100,2010ApJS..186..191C,B,2MASS J02193110+5712397,*,02 19 31.1158213296 +57 12 39.754485576,~,~,16.581,~,15.436,F2.1V,2,0
3715,436.48,100,2010ApJS..186..191C,B,2MASS J02185156+5700489,*,02 18 51.5744736024 +57 00 48.919387356,~,~,16.684,~,15.432,G2.0V,2,0
3716,434.47,100,2010ApJS..186..191C,B,2MASS J02190736+5700549,*,02 19 07.3651611888 +57 00 54.928470960,~,~,16.742,~,15.431,G0.7V,2,0
3717,194.74,100,2010ApJS..186..191C,B,2MASS J02190911+5705107,*,02 19 09.1192228776 +57 05 10.697157456,~,~,16.797,~,15.428,F9.9V,2,0
3718,493.63,100,2010ApJS..186..191C,B,2MASS J02190829+5716087,*,02 19 08.3019866833 +57 16 08.657799261,~,~,16.564,~,15.456,F0.5V,4,0
3719,493.63,100,2018A&A...616A..10G,B,2MASS J02190829+5716087,*,02 19 08.3019866833 +57 16 08.657799261,~,~,16.564,~,15.456,F0.5V,4,0
3720,356.83,100,2010ApJS..186..191C,B,2MASS J02192892+5703511,*,02 19 28.9390278744 +57 03 51.152934528,~,~,16.596,~,15.453,F3.0V,2,0
3721,244.14,100,2010ApJS..186..191C,B,2MASS J02190356+5704027,*,02 19 03.5697664824 +57 04 02.769051108,~,~,16.636,~,15.450,F3.7V,3,0
3722,244.14,100,2018A&A...616A..10G,B,2MASS J02190356+5704027,*,02 19 03.5697664824 +57 04 02.769051108,~,~,16.636,~,15.450,F3.7V,3,0
3723,473.78,100,2010ApJS..186..191C,B,2MASS J02180793+5703591,*,02 18 07.9403950488 +57 03 59.142935952,~,~,16.4968,~,15.472,F3.4V,2,0
3724,588.78,60,2020A&A...633A..99C,B,2MASS J02174550+5708056,*,02 17 45.5092650960 +57 08 05.677947672,~,~,16.5205,~,15.476,F3.5V,4,0
3725,588.78,100,2010ApJS..186..191C,B,2MASS J02174550+5708056,*,02 17 45.5092650960 +57 08 05.677947672,~,~,16.5205,~,15.476,F3.5V,4,0
3726,588.78,100,2018A&A...616A..10G,B,2MASS J02174550+5708056,*,02 17 45.5092650960 +57 08 05.677947672,~,~,16.5205,~,15.476,F3.5V,4,0
3727,534.15,100,2010ApJS..186..191C,B,2MASS J02182811+5700063,*,02 18 28.1203548600 +57 00 06.392181960,~,~,16.741,~,15.459,G9.2V,2,0
3728,589.59,100,2010ApJS..186..191C,B,2MASS J02181733+5716116,*,02 18 17.3466776712 +57 16 11.648830908,~,~,16.716,~,15.462,G1.7V,2,0
3729,307.71,100,2010ApJS..186..191C,B,2MASS J02193563+5708002,*,02 19 35.6397784392 +57 08 00.205607544,~,~,17.0158,~,15.4366,G1.5V,2,0
3730,378.74,100,2010ApJS..186..191C,B,2MASS J02191205+5714030,*,02 19 12.0607216584 +57 14 03.061131972,~,~,16.530,~,15.511,F0.2V,2,0
3731,407.12,90,2020A&A...633A..99C,B,2MASS J02194625+5706214,*,02 19 46.2724263648 +57 06 21.407374224,~,~,16.690,~,15.498,F0.8V,5,0
3732,407.12,90,2020A&A...640A...1C,B,2MASS J02194625+5706214,*,02 19 46.2724263648 +57 06 21.407374224,~,~,16.690,~,15.498,F0.8V,5,0
